ID,Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
964,Travel Agents,ORINWAY LEISURE (PVT) LTD,"NO. 70/1/31, YMBA BUILDING, D.S. SENANAYAKE MAWATHA, COLOMBO 08, BORELLA",Not Graded,Colombo,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
965,Travel Agents,AMRIAZ TRAVELS & TOURS,"NO. 476 -D/1, MARADANA, SHOPPING CENTER, COLOMBO 10",Not Graded,Colombo,Colombo,Maradana
966,Travel Agents,JOURNEY SCAPES (PVT) LTD,"NO. 08, 2ND LANE, DEHIWALA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
967,Travel Agents,HIGH ELMS TRAVELS (PVT) LTD,"NO. 71 G, POLHENAWATTA HOUSING SCHEME MAWATHA, KELANIYA",Not Graded,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
968,Travel Agents,HAIFA TRAVELS & TOURS (PVT) LTD,"NO. 53 A, BRISTOL PARADISE BUILDING, YORK STREET, COLOMBO 01",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
969,Travel Agents,CEYLON ROOTS (PVT) LTD,"19, DUDLEY SENANAYAKE MAWATHA, COLOMBO 08",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
970,Travel Agents,AL - KUBRAAH INTERNATIONAL TOURS & TRAVELS,"NO.155, BEAUTY ARCADE, 2ND FLOOR, MAIN STREET, COLOMBO 11",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
971,Travel Agents,LANKA EXHIBITION & CONFERENCE SERVICES (PVT) LTD,"4TH, FLOOR, AUTOMOBILE ASSOCIATION BUILDING, NO:40,SIR MOHOMED MACAN MARKER MAWATHA, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
972,Travel Agents,TRAVEL ARCADE HOLIDAYS (PVT) LTD,"NO.102A, HAVELOCK ROAD, COLOMBO 05",Not Graded,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
973,Travel Agents,JAGATH TOURS & TRAVELS,"NO.119,""LANKA LANDS"",PEELLAWATTE,ANDIAMBALAMA",Not Graded,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat
974,Travel Agents,ETHIC INTERNATIONAL TRAVELS (PVT)LTD,"UDESHI CITY COMPLEX,NO.14,MAKOLA ROAD,KIRIBATHGODA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
975,Travel Agents,MAC TRAVELS (PVT) LTD,"NO. 141/9, VAUXHALL STREET, COLOMBO -02",Not Graded,Colombo,Colombo,Slave island
976,Travel Agents,CENTRAL RESERVATION SYSTEMS (PVT)LTD,"NO.105A, DUTUGEMUNU STREET, KALUBOWILA, DEHIWALA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
977,Travel Agents,HOLIZONE LANKA VACATION PLANNERS,"NO.422 1/1 GALLE ROAD, COLOMBO 06",Not Graded,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
978,Travel Agents,MSA TRAVELS AND TOURS (PVT)LTD,"NO:77, MALIBAN STREET,COLOMBO 11",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
979,Travel Agents,BLUE LOTUS TOURS,"NO: 15B, PERAHERA MAWATHA, COLOMBO 02",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
980,Travel Agents,REAL CEYLON LEISURES & TOURS (PVT) LTD,"NO. 312, 2/1, GALLE ROAD , MOUNT LAVINIA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia
981,Travel Agents,BIZNEZ BAZZAR (PVT)LTD,"NO 34, MISSION ROAD, KOTTE",Not Graded,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
982,Travel Agents,TRAVEL IN STYLE (PVT) LTD,"NO:16/20,MARCAN MARKAR MAWATHA, GALLE FACE COURT 02,COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
